sender,receiver,amount
910,302,7
737,659,0
289,209,2
941,404,9
396,680,9
96,557,7
69,824,3
467,767,4
52,287,3
563,927,0
820,218,2
355,153,3
540,739,2
553,982,4
412,295,3
796,30,4
390,182,6
833,552,3
882,643,5
60,931,3
563,214,3
824,426,9
200,113,5
443,13,7
454,733,8
698,504,2
569,626,2
8,573,4
906,616,4
844,4,0
174,702,8
163,897,7
113,868,6
825,523,5
609,239,6
883,483,4
382,441,6
652,85,0
719,42,5
483,141,2
752,183,7
178,457,5
350,456,2
297,355,0
893,784,6
995,511,3
878,556,8
732,254,3
26,175,0
151,697,2
586,690,9
367,397,4
430,612,9
318,50,8
848,564,0
981,690,4
298,831,9
57,837,6
722,513,8
253,64,3
487,447,0
195,770,1
19,345,0
437,749,6
305,535,7
531,855,4
289,67,1
40,887,7
474,536,9
515,745,2
201,940,9
949,230,3
993,106,4
133,908,6
843,276,7
854,681,8
753,586,5
941,209,6
766,648,2
76,49,4
382,159,3
75,272,8
787,911,9
402,532,1
795,654,3
261,288,3
428,778,0
959,116,9
746,569,8
517,310,5
842,227,2
139,257,2
552,290,7
432,608,3
517,183,5
957,350,8
823,930,7
203,308,9
347,38,6
667,655,3
626,915,1
562,598,5
782,821,7
848,74,5
184,252,0
372,437,3
164,411,4
455,205,1
85,692,8
15,784,5
179,393,4
129,472,6
413,352,1
767,18,1
600,587,1
620,966,9
207,59,4
67,30,9
880,414,7
870,793,0
123,919,2
193,28,0
108,344,6
27,338,9
85,580,4
763,137,6
605,537,9
595,242,8
582,273,5
624,428,2
245,423,8
686,904,1
182,646,9
762,111,8
380,818,3
119,903,8
841,325,8
951,684,6
564,753,2
327,486,5
162,740,1
311,484,2
830,182,2
125,135,7
572,174,9
372,721,6
560,319,4
334,415,5
880,885,0
240,311,6
416,110,0
16,195,2
675,487,3
160,188,8
822,153,0
235,437,1
920,492,1
118,419,9
552,357,2
90,593,6
307,700,3
246,223,8
687,593,4
445,602,3
820,592,7
520,229,3
280,347,4
210,818,8
139,214,1
374,622,9
583,249,2
410,815,5
428,34,5
677,554,8
638,80,8
161,679,1
889,573,1
634,783,7
380,467,7
392,765,9
60,882,3
189,609,8
738,331,1
895,819,7
539,949,0
962,245,0
933,124,9
184,788,6
790,334,0
789,377,6
797,224,7
467,165,4
748,512,9
695,226,2
185,678,6
925,887,8
649,873,6
258,714,0
724,655,7
980,214,7
153,84,7
938,87,5
403,556,4
115,561,1
753,484,8
273,715,4
115,516,0
787,65,3
501,976,6
394,964,6
457,123,2
87,647,7
120,524,0
597,739,5
602,777,3
624,587,6
213,38,9
577,579,9
19,812,1
610,968,5
112,168,9
357,302,2
996,252,6
258,751,4
295,309,8
609,525,5
959,824,1
860,733,1
480,856,9
555,700,5
843,437,0
125,916,6
117,564,0
888,842,7
555,352,3
591,253,0
712,994,1
387,367,8
254,529,2
463,12,5
14,521,7
621,473,5
934,786,9
102,289,5
22,397,7
214,72,3
