sender,receiver,amount
169,23,4
524,991,1
889,964,7
409,104,3
445,314,8
636,982,7
212,526,7
474,244,5
188,473,5
201,474,8
598,72,9
909,191,9
939,413,4
394,869,0
541,306,1
874,244,5
892,632,8
699,694,9
687,69,7
896,35,5
892,417,7
784,553,8
479,922,5
993,424,3
764,829,8
55,650,3
634,292,8
880,518,9
62,916,3
267,64,6
392,535,1
765,415,0
658,89,3
348,590,1
649,289,8
688,413,7
247,259,2
344,706,7
643,142,4
707,173,9
132,27,0
295,219,1
123,22,7
865,159,3
705,5,5
583,514,6
731,787,5
285,366,9
541,422,8
476,664,3
839,186,7
796,214,7
308,803,3
51,789,2
174,877,5
827,947,8
83,639,9
610,227,5
351,147,3
0,885,0
20,862,7
429,552,0
713,519,1
492,844,6
872,457,3
971,789,9
143,810,8
315,961,3
768,746,5
561,270,5
950,162,4
436,177,8
699,760,0
955,305,0
317,907,6
628,57,4
185,100,8
81,135,3
756,115,8
755,601,2
608,362,8
860,569,6
489,820,5
724,676,7
397,856,9
552,500,6
303,651,3
111,626,2
429,574,9
997,271,3
616,576,1
378,83,9
495,68,4
913,235,8
293,961,5
56,834,4
827,118,0
270,872,4
96,746,6
5,245,1
788,181,5
84,88,2
574,630,0
239,586,7
181,994,2
470,595,5
43,990,4
739,450,5
179,51,0
117,59,0
291,69,7
103,771,2
81,779,9
840,561,3
414,111,1
647,964,7
672,307,9
818,764,3
524,572,1
672,642,2
32,726,4
346,894,5
335,395,3
621,657,4
619,546,2
524,456,8
811,825,9
975,299,8
506,44,0
253,401,5
276,36,4
865,44,7
536,463,8
975,832,6
12,83,4
56,980,1
323,663,9
792,918,5
598,319,6
928,212,7
208,367,9
891,206,5
284,232,8
10,340,7
869,893,3
748,642,5
259,136,0
59,664,1
391,811,5
979,711,0
133,247,6
672,838,1
396,591,3
84,138,6
935,260,4
525,390,8
384,757,4
174,781,5
908,120,0
427,355,6
27,876,5
731,210,0
565,346,3
944,697,9
639,214,3
748,240,7
26,114,0
533,457,1
523,868,2
638,14,7
978,261,6
475,455,6
574,772,6
634,520,7
841,362,6
977,183,8
152,802,6
842,828,3
537,401,0
763,660,6
307,291,4
799,685,3
849,308,9
668,84,5
17,599,5
602,670,3
588,346,6
96,178,0
541,980,6
362,394,2
775,827,9
718,463,2
609,467,5
542,128,0
641,106,9
127,845,6
66,106,7
819,750,2
663,581,4
116,617,0
552,509,0
202,921,1
773,186,5
570,592,8
268,101,6
878,787,3
739,969,9
158,593,5
791,450,1
145,81,8
860,106,8
460,575,3
25,811,2
197,842,5
872,681,4
498,321,7
85,217,0
204,146,1
27,67,3
952,926,1
39,564,8
153,629,4
917,994,3
616,206,0
571,789,5
135,979,7
686,176,8
910,221,2
929,568,9
906,86,1
223,82,8
748,31,1
365,962,1
888,673,4
787,426,1
952,567,0
282,161,3
107,268,3
852,759,6
905,676,6
854,98,0
790,873,2
895,572,6
728,478,7
939,574,8
214,792,9
646,461,4
910,272,7
607,285,7
908,705,9
804,601,0
415,394,9
825,429,7
808,825,4
112,720,7
76,940,1
340,659,6
412,648,3
93,177,3
60,702,3
438,289,7
325,961,5
281,742,5
558,257,3
729,773,0
686,881,5
401,710,0
282,214,3
507,143,3
517,495,2
766,724,5
467,942,4
429,465,5
327,2,1
345,116,2
706,832,6
237,348,0
756,66,7
681,411,3
850,162,6
958,354,9
387,810,5
795,190,5
609,944,8
119,824,1
864,868,7
282,969,5
119,230,9
913,681,1
998,952,9
324,831,5
160,416,9
870,739,0
408,777,1
16,74,2
484,256,3
263,930,5
707,669,1
279,381,7
341,513,1
27,446,8
232,526,9
359,288,0
658,155,0
456,448,2
364,683,2
155,864,5
473,227,7
630,545,8
666,480,1
284,787,6
494,755,9
502,763,2
113,66,2
807,528,1
958,73,1
401,909,1
162,74,0
159,41,5
976,274,0
16,965,6
228,139,2
744,895,8
687,404,8
703,745,6
136,274,3
321,378,7
881,722,7
795,897,3
936,279,1
283,778,8
991,983,3
722,770,7
276,256,5
358,809,8
611,707,4
295,962,3
201,373,7
508,758,4
775,134,4
629,422,3
219,763,7
308,121,7
332,155,9
380,965,8
242,890,4
930,415,8
565,647,8
195,258,3
777,498,4
462,725,7
3,636,6
104,940,9
665,133,7
704,504,0
595,84,4
536,394,1
858,950,1
868,545,8
456,371,2
84,959,3
664,974,8
331,151,0
126,775,9
622,799,9
200,997,1
267,758,2
879,391,3
271,758,3
510,862,3
768,758,3
594,450,9
333,589,9
27,726,6
672,182,2
234,157,2
127,341,4
572,145,5
446,900,9
516,718,9
29,871,6
369,77,4
704,675,4
412,786,6
796,257,4
362,950,9
391,501,6
882,213,2
481,683,2
761,801,1
824,296,9
680,177,8
427,873,8
250,400,7
557,173,8
36,693,2
792,598,2
187,532,2
445,472,9
455,583,8
712,683,2
821,898,1
588,738,8
563,173,2
238,549,3
552,640,5
259,862,1
891,755,6
97,295,7
625,952,6
859,3,1
860,201,0
592,21,5
657,834,5
42,491,1
699,440,5
282,21,2
638,427,8
579,351,7
601,161,7
928,363,0
278,611,3
484,524,4
166,92,6
122,62,4
517,543,8
55,83,5
940,41,2
428,270,4
92,658,9
453,947,9
534,470,4
819,839,7
262,815,3
181,833,7
357,624,9
178,399,5
187,980,2
620,962,9
571,644,0
252,942,8
22,4,4
475,148,8
439,795,6
280,603,9
117,610,4
622,149,5
241,365,5
408,890,8
181,826,7
447,666,2
819,364,8
670,31,9
834,942,3
199,43,4
367,215,4
431,595,5
603,700,5
646,712,9
341,686,6
787,940,7
142,827,6
991,18,3
167,786,4
886,286,9
728,494,8
289,912,4
345,111,0
814,114,9
7,675,5
765,962,4
472,504,8
632,465,5
828,403,8
66,275,3
646,435,6
181,543,7
258,301,9
881,958,5
442,41,6
480,653,7
559,447,5
155,845,7
357,340,0
998,944,9
470,14,4
592,268,6
56,749,8
81,702,9
396,821,6
137,479,4
226,393,8
344,299,2
566,610,4
370,350,8
223,750,6
924,124,3
363,306,3
201,760,6
295,743,8
80,329,5
799,999,5
520,769,2
744,569,4
991,303,5
839,901,2
699,872,2
377,839,0
561,658,6
533,520,1
124,500,8
322,129,2
182,548,1
537,97,1
957,28,0
756,78,4
668,409,0
649,764,5
195,204,3
680,893,9
409,569,2
173,214,4
419,549,3
588,645,0
633,18,9
666,405,8
659,890,4
725,570,0
959,827,3
447,467,9
692,704,0
170,958,3
646,552,5
344,553,0
334,603,8
636,585,8
125,512,2
796,282,9
658,343,0
301,255,9
232,366,2
509,805,6
840,593,3
164,808,3
850,755,7
372,338,6
868,194,9
809,982,1
103,451,1
12,292,3
395,396,2
583,559,4
222,869,9
945,160,6
252,275,6
841,273,3
368,562,2
151,672,5
963,475,3
846,690,4
907,761,6
1,851,4
479,587,4
925,393,0
499,253,6
536,924,5
953,769,1
487,982,6
22,399,8
938,730,8
516,557,8
457,371,7
298,172,5
432,923,1
698,892,4
371,657,8
955,317,2
210,848,4
940,935,8
135,539,0
629,425,8
372,919,3
80,144,6
413,107,8
610,896,0
444,285,2
195,957,1
637,117,6
305,758,8
564,620,6
795,919,5
977,477,4
546,604,2
229,603,9
670,520,2
593,472,0
754,654,1
512,843,7
965,361,3
181,238,0
112,674,0
949,292,8
122,677,7
