id,name,balance
0,0,1000
1,1,1000
2,2,1000
3,3,1000
4,4,1000
5,5,1000
6,6,1000
7,7,1000
8,8,1000
9,9,1000
10,10,1000
11,11,1000
12,12,1000
13,13,1000
14,14,1000
15,15,1000
16,16,1000
17,17,1000
18,18,1000
19,19,1000
20,20,1000
21,21,1000
22,22,1000
23,23,1000
24,24,1000
25,25,1000
26,26,1000
27,27,1000
28,28,1000
29,29,1000
30,30,1000
31,31,1000
32,32,1000
33,33,1000
34,34,1000
35,35,1000
36,36,1000
37,37,1000
38,38,1000
39,39,1000
40,40,1000
41,41,1000
42,42,1000
43,43,1000
44,44,1000
45,45,1000
46,46,1000
47,47,1000
48,48,1000
49,49,1000
50,50,1000
51,51,1000
52,52,1000
53,53,1000
54,54,1000
55,55,1000
56,56,1000
57,57,1000
58,58,1000
59,59,1000
60,60,1000
61,61,1000
62,62,1000
63,63,1000
64,64,1000
65,65,1000
66,66,1000
67,67,1000
68,68,1000
69,69,1000
70,70,1000
71,71,1000
72,72,1000
73,73,1000
74,74,1000
75,75,1000
76,76,1000
77,77,1000
78,78,1000
79,79,1000
80,80,1000
81,81,1000
82,82,1000
83,83,1000
84,84,1000
85,85,1000
86,86,1000
87,87,1000
88,88,1000
89,89,1000
90,90,1000
91,91,1000
92,92,1000
93,93,1000
94,94,1000
95,95,1000
96,96,1000
97,97,1000
98,98,1000
99,99,1000
100,100,1000
101,101,1000
102,102,1000
103,103,1000
104,104,1000
105,105,1000
106,106,1000
107,107,1000
108,108,1000
109,109,1000
110,110,1000
111,111,1000
112,112,1000
113,113,1000
114,114,1000
115,115,1000
116,116,1000
117,117,1000
118,118,1000
119,119,1000
120,120,1000
121,121,1000
122,122,1000
123,123,1000
124,124,1000
125,125,1000
126,126,1000
127,127,1000
128,128,1000
129,129,1000
130,130,1000
131,131,1000
132,132,1000
133,133,1000
134,134,1000
135,135,1000
136,136,1000
137,137,1000
138,138,1000
139,139,1000
140,140,1000
141,141,1000
142,142,1000
143,143,1000
144,144,1000
145,145,1000
146,146,1000
147,147,1000
148,148,1000
149,149,1000
150,150,1000
151,151,1000
152,152,1000
153,153,1000
154,154,1000
155,155,1000
156,156,1000
157,157,1000
158,158,1000
159,159,1000
160,160,1000
161,161,1000
162,162,1000
163,163,1000
164,164,1000
165,165,1000
166,166,1000
167,167,1000
168,168,1000
169,169,1000
170,170,1000
171,171,1000
172,172,1000
173,173,1000
174,174,1000
175,175,1000
176,176,1000
177,177,1000
178,178,1000
179,179,1000
180,180,1000
181,181,1000
182,182,1000
183,183,1000
184,184,1000
185,185,1000
