sender,receiver,amount
91,563,0
845,12,3
461,832,8
685,899,9
945,822,1
489,690,9
549,295,0
166,488,4
579,999,1
146,946,6
671,804,6
551,496,9
786,897,6
855,444,4
160,3,7
902,579,8
749,587,1
484,764,0
23,114,2
492,221,0
474,381,6
798,687,8
247,577,8
610,274,2
708,612,3
546,806,5
870,839,6
956,408,8
92,231,3
156,380,3
153,608,6
596,248,2
820,137,7
353,646,2
377,139,3
197,160,2
18,869,4
682,361,0
233,172,6
693,794,3
614,465,5
318,674,0
667,92,9
222,261,1
360,42,2
427,706,6
783,793,3
223,364,3
751,715,0
915,663,6
399,960,4
786,33,6
66,741,3
625,70,9
434,366,9
540,506,9
734,700,5
223,102,9
829,461,8
392,110,4
739,429,4
211,927,2
637,827,2
531,266,5
163,196,0
400,922,8
116,637,3
817,236,3
542,700,2
414,102,1
464,11,0
237,268,3
771,144,7
768,961,9
992,785,7
604,546,9
867,978,6
487,78,9
69,781,9
875,355,8
960,411,3
338,889,6
774,945,1
751,910,1
533,71,3
459,124,1
703,791,3
205,525,0
22,500,8
453,605,6
134,946,2
152,596,6
895,452,7
66,561,1
114,196,1
227,823,7
247,961,4
569,39,1
366,973,5
926,639,1
668,683,9
842,500,0
384,723,7
317,127,4
910,43,0
974,380,3
56,982,2
68,834,9
419,185,7
519,760,6
579,883,3
166,495,2
678,280,0
935,909,6
696,804,4
590,905,6
977,891,1
300,974,2
790,832,9
438,972,6
396,822,3
462,403,3
469,313,1
518,679,9
327,381,2
179,132,2
949,21,8
799,763,0
100,535,1
718,891,3
268,672,1
914,118,9
851,111,5
103,34,3
423,294,1
442,307,3
286,522,1
561,872,9
628,531,1
721,795,0
517,144,5
505,528,3
109,990,6
184,411,2
68,324,8
404,874,5
289,737,6
637,708,9
330,618,1
371,127,3
940,75,8
138,155,1
618,276,7
5,849,3
85,240,3
521,117,2
565,121,4
475,471,4
227,36,5
528,428,1
192,846,2
887,925,0
928,444,0
793,875,3
399,122,2
505,301,5
529,172,6
138,498,4
453,971,8
196,535,7
268,390,0
634,280,3
746,620,5
382,331,8
279,958,5
438,32,4
613,627,9
611,493,0
594,807,0
367,971,9
815,6,0
300,410,5
221,320,3
261,553,5
735,372,6
94,25,4
336,350,8
348,966,5
537,160,9
316,6,7
587,130,3
134,476,2
595,352,4
737,944,1
194,67,4
311,991,2
467,492,8
985,175,3
683,656,2
60,648,1
552,595,5
454,441,8
532,71,7
144,591,3
31,483,5
89,380,9
487,899,8
161,349,3
608,524,1
994,963,2
243,976,5
871,282,7
207,857,4
747,24,2
250,226,4
591,822,0
923,102,2
517,176,3
401,932,4
550,362,2
581,707,8
77,911,8
154,861,5
10,150,8
294,822,3
104,166,5
960,795,7
105,996,7
66,554,1
871,393,5
30,216,2
95,192,7
230,32,7
320,347,6
463,363,3
821,304,8
792,527,1
259,174,8
649,273,1
127,788,5
836,179,6
758,116,3
590,645,5
137,733,8
611,782,0
740,375,3
137,779,6
857,801,3
144,554,6
142,590,2
567,369,2
897,600,6
48,257,0
169,514,1
859,597,7
888,632,3
529,11,3
810,650,3
703,648,3
513,533,9
235,14,4
543,276,5
216,937,4
868,82,4
477,603,1
644,930,2
523,698,7
805,778,8
295,92,3
56,519,0
171,607,9
443,107,9
693,782,5
742,785,9
496,157,2
700,758,1
454,333,2
578,354,7
548,578,1
711,320,5
235,796,7
986,509,5
466,756,9
976,883,3
24,266,1
346,633,8
61,609,2
532,651,6
218,621,4
640,228,2
662,637,7
8,795,9
868,176,7
932,698,2
992,279,8
550,173,2
716,723,0
155,234,2
466,279,4
17,859,0
18,161,5
632,807,8
252,281,3
574,462,1
579,93,6
774,176,7
546,694,4
43,708,0
954,312,5
87,419,3
527,858,0
856,249,9
421,317,4
168,433,1
284,979,0
20,321,7
957,752,5
325,494,6
586,138,3
522,483,3
984,598,0
370,928,5
69,6,5
877,118,8
721,317,9
799,879,0
708,758,7
393,904,7
343,666,0
869,473,5
624,537,2
616,185,6
830,333,2
331,495,7
117,651,0
570,701,4
220,707,2
685,615,1
513,571,9
59,160,7
428,43,0
92,715,1
458,329,5
913,597,8
458,50,8
720,383,2
188,445,6
664,34,0
817,446,0
309,815,0
900,388,4
712,211,3
915,900,9
338,342,7
864,517,8
167,136,7
844,72,3
897,657,2
650,339,4
248,680,6
432,594,0
349,163,5
341,351,3
51,101,5
203,450,0
363,834,3
304,119,2
457,605,9
98,683,1
156,829,2
783,366,5
264,389,2
453,91,0
616,307,5
916,362,9
133,295,7
361,853,6
569,915,0
229,150,1
865,877,9
6,952,6
857,617,7
712,269,1
663,819,6
225,170,1
394,981,8
304,213,0
27,587,1
342,438,4
253,205,4
966,658,2
37,472,6
605,552,6
407,487,3
870,67,2
566,23,8
307,439,2
463,65,1
378,863,8
716,372,8
441,140,4
751,880,1
38,92,5
276,107,3
452,838,6
969,691,3
220,84,3
42,129,4
85,731,5
912,852,1
160,100,7
894,966,5
341,660,0
984,202,4
14,325,6
866,793,0
944,990,1
419,923,1
464,337,5
99,857,5
140,860,4
198,879,7
613,323,4
534,792,6
415,339,7
284,739,0
455,176,4
261,389,9
298,148,0
815,869,1
250,580,7
747,151,5
930,873,8
253,586,9
500,108,1
2,334,1
551,619,2
90,283,2
797,540,3
708,321,9
685,403,9
805,278,8
858,30,1
257,392,2
620,111,7
298,942,2
602,19,7
531,286,6
496,964,3
675,982,6
622,612,8
806,336,7
339,901,1
288,50,4
768,959,4
956,201,4
681,752,3
369,512,8
753,393,0
268,332,8
185,815,5
298,491,3
741,5,0
372,179,9
741,979,3
372,710,9
479,993,3
463,936,1
953,9,2
91,755,6
805,461,4
549,396,0
673,299,0
969,863,4
430,274,5
803,900,2
110,54,5
190,60,2
634,672,0
381,410,4
261,463,8
19,507,1
229,735,7
33,663,1
684,788,7
470,84,4
642,134,7
555,61,7
416,667,4
754,530,0
997,917,7
805,841,8
263,21,7
888,710,5
702,322,2
965,434,0
634,51,3
615,213,0
597,27,8
864,120,2
481,171,3
501,953,1
826,984,0
612,374,5
357,757,7
510,445,7
759,100,2
331,325,0
617,844,4
959,729,4
333,752,8
481,831,9
792,778,5
758,867,1
304,592,2
396,243,3
858,524,8
857,157,0
37,343,3
910,875,7
262,881,7
530,740,0
628,436,4
28,810,0
760,213,6
751,642,8
582,609,0
347,670,9
498,417,7
627,174,3
872,572,3
117,920,5
619,804,8
20,126,9
456,582,1
425,254,0
886,350,7
141,142,1
650,162,4
856,721,0
879,160,1
860,602,4
385,778,7
767,533,4
494,308,3
5,977,5
251,584,5
464,353,4
841,449,4
714,592,7
103,93,2
320,454,9
191,75,5
737,9,8
537,536,4
514,729,2
838,716,9
491,997,8
361,752,2
846,261,2
934,854,5
426,442,8
439,724,3
641,435,3
856,327,0
898,382,7
178,971,6
247,3,3
348,116,5
800,48,6
965,357,8
645,390,3
515,195,5
412,776,3
17,50,8
147,862,1
53,448,2
982,84,3
972,192,1
221,428,3
207,313,8
691,287,8
472,777,9
5,915,3
555,176,8
170,192,2
678,18,4
895,692,3
65,490,4
128,393,5
268,967,2
786,935,2
687,355,8
128,188,5
890,131,3
475,934,6
372,620,3
934,802,5
827,444,5
182,998,2
39,773,0
748,226,2
780,332,4
495,726,9
889,360,5
925,327,7
859,229,6
899,878,3
975,540,1
131,816,4
185,226,6
674,271,2
495,383,7
235,776,3
486,383,3
363,93,2
260,75,3
234,568,1
468,615,4
414,287,7
86,505,1
198,142,8
856,534,0
721,890,5
450,255,4
434,164,4
172,362,1
623,533,3
527,658,3
780,328,5
874,265,9
252,740,9
263,966,2
741,568,6
841,235,8
107,131,7
209,749,3
923,670,1
151,440,8
575,426,1
619,769,2
900,428,3
