sender,receiver,amount
643,267,7
268,337,2
503,301,7
375,54,4
995,201,9
163,634,0
35,967,3
497,434,4
185,720,5
517,773,6
51,677,8
401,649,6
641,252,8
539,540,0
801,981,6
415,557,0
211,935,3
90,484,0
55,302,0
691,523,2
86,795,8
781,271,4
339,459,0
303,413,1
141,761,8
566,997,0
883,63,4
82,118,4
657,588,5
603,745,0
565,26,5
54,547,6
393,364,0
510,44,9
816,76,1
105,119,7
0,973,5
536,681,2
162,861,3
301,730,1
587,378,2
968,294,2
164,659,4
620,508,0
51,484,9
443,446,9
302,186,8
296,177,9
85,659,8
421,996,0
630,515,1
294,660,3
275,653,6
754,872,6
179,600,6
639,206,1
180,50,2
430,141,0
668,864,3
608,816,9
622,982,8
624,712,2
25,775,3
240,224,6
370,79,3
54,559,9
389,271,5
191,231,1
276,499,0
899,341,0
319,653,2
304,31,5
877,613,2
170,140,3
771,279,1
938,495,6
205,987,2
319,573,6
567,770,1
486,636,7
994,219,6
445,382,5
801,220,1
635,184,9
741,8,5
611,342,5
904,887,5
260,860,0
328,36,8
630,894,5
193,167,8
349,566,2
54,996,1
279,155,3
683,918,7
384,996,3
691,839,2
706,9,5
359,287,8
564,744,9
128,636,3
949,756,2
315,143,4
497,945,5
243,815,7
940,160,6
739,895,8
992,42,5
305,616,2
659,813,7
983,138,8
286,973,7
113,796,6
903,270,0
275,793,8
39,93,1
195,345,2
656,688,9
234,669,1
310,373,0
748,614,2
163,65,5
815,18,6
425,166,9
597,769,9
365,283,3
100,775,7
977,405,8
385,819,8
484,606,3
494,515,5
868,407,4
236,481,4
335,28,4
771,363,7
809,996,8
589,136,2
156,811,4
689,854,9
18,286,8
816,603,2
89,213,5
199,34,3
546,13,2
464,495,7
130,153,8
57,931,3
184,870,2
18,771,1
134,747,3
744,354,0
115,680,4
863,603,3
656,980,3
25,866,3
296,127,3
303,850,0
674,750,2
293,183,9
30,813,5
829,81,7
38,653,4
103,872,2
803,109,5
329,203,6
427,391,7
890,35,4
878,201,6
912,404,0
980,951,8
977,922,4
958,416,8
903,704,4
834,345,9
882,717,8
188,792,7
388,100,1
667,113,2
885,133,5
763,15,4
347,483,3
164,583,4
187,503,4
144,815,9
209,309,3
153,725,9
942,36,9
420,963,5
335,194,8
667,69,3
192,725,4
42,105,9
157,164,0
515,228,4
412,594,9
89,805,5
318,2,6
99,825,7
916,860,6
522,946,5
93,186,0
650,653,9
922,284,4
747,782,5
472,409,2
336,143,5
255,395,8
175,722,2
59,977,4
353,385,5
988,43,0
287,225,9
728,221,3
948,17,4
376,448,5
883,820,8
30,731,9
663,736,4
912,957,1
234,63,2
159,923,3
353,786,1
452,477,6
487,235,6
512,780,4
555,697,8
165,456,7
726,649,6
623,503,4
602,501,0
746,604,9
988,875,0
296,179,9
501,693,8
722,236,7
650,948,5
905,136,2
475,755,8
490,190,8
904,71,4
796,828,4
737,66,1
76,274,4
943,383,0
815,505,6
166,19,3
92,88,9
256,33,5
288,927,4
758,483,6
11,659,0
107,529,1
880,794,9
773,530,3
937,181,5
208,463,0
835,147,1
22,146,0
854,284,5
285,405,9
278,741,0
478,900,5
6,793,8
18,117,3
771,686,2
28,111,6
858,422,1
839,716,8
740,931,3
482,193,2
884,895,2
330,252,3
122,191,1
211,515,9
140,949,3
623,258,5
103,11,3
861,866,0
390,318,1
677,707,1
81,353,7
351,477,8
224,774,4
21,683,3
392,892,6
799,749,3
42,868,8
171,725,3
255,607,2
632,305,2
640,731,7
399,232,9
919,167,1
70,908,6
727,991,9
54,612,1
998,460,7
373,969,2
152,34,2
603,935,5
629,321,0
278,302,4
582,728,3
683,806,7
667,750,0
814,703,4
374,747,8
69,885,3
714,434,9
705,664,8
112,45,9
956,414,5
223,768,1
529,628,6
637,410,9
531,313,1
657,621,2
324,153,0
820,217,6
137,815,5
772,499,1
650,105,4
447,887,1
437,553,5
443,320,4
25,232,7
387,418,0
193,201,4
218,984,4
983,287,3
401,999,3
300,791,2
698,347,1
702,59,3
60,254,8
958,142,5
548,136,7
953,134,3
340,571,3
331,940,8
7,887,9
424,384,8
651,871,1
805,225,8
974,267,2
449,849,4
128,799,3
199,897,3
804,231,9
581,616,1
475,415,6
425,110,7
807,20,4
717,706,5
310,330,7
788,306,0
935,585,8
55,145,7
574,210,4
915,232,7
824,124,2
820,105,7
687,738,6
761,961,8
507,656,7
591,445,5
272,44,7
899,493,0
390,496,7
413,126,8
988,166,3
20,475,7
65,278,7
942,586,4
150,523,4
409,219,0
223,532,5
755,757,7
806,483,5
677,167,2
944,588,6
412,911,4
884,235,9
616,456,3
557,526,9
19,246,4
690,522,4
206,816,9
45,67,9
902,963,2
128,262,4
56,986,1
154,31,8
593,186,6
148,86,0
76,154,2
67,121,1
476,402,0
927,436,9
654,725,2
234,325,1
472,659,4
994,157,1
729,601,8
208,253,7
863,66,6
760,3,0
251,728,1
570,649,5
720,919,7
42,526,6
557,483,2
159,409,9
485,380,3
68,522,0
697,857,7
201,231,3
460,148,6
174,942,7
106,805,7
896,261,3
86,778,7
991,207,8
767,224,2
695,334,9
721,48,6
216,21,1
893,376,7
351,758,2
611,884,2
425,30,0
817,302,7
292,80,2
963,6,3
240,384,7
577,871,4
582,182,6
635,385,1
563,579,4
326,177,2
137,517,9
458,558,6
713,166,4
744,140,2
924,288,0
528,549,2
81,550,2
494,195,7
984,255,6
895,95,6
858,546,0
161,784,2
471,564,1
140,532,0
854,145,5
826,107,9
504,905,7
702,982,0
535,531,8
54,492,2
796,856,1
549,892,8
212,828,8
814,880,8
456,209,9
188,997,3
186,904,2
393,80,3
713,327,8
542,738,9
873,901,9
630,715,3
393,885,2
110,499,1
647,488,8
721,797,2
320,612,7
757,721,4
30,236,8
617,724,2
59,467,5
274,953,9
854,406,2
364,960,3
583,767,8
779,465,5
174,456,6
629,128,9
620,865,8
806,287,6
649,627,0
519,4,8
418,852,0
416,606,1
138,788,4
607,324,9
508,253,7
604,325,8
28,79,8
702,935,5
619,758,5
506,730,4
780,711,9
629,316,8
770,529,4
437,137,5
392,132,3
115,537,4
189,274,3
929,158,3
957,65,1
238,559,0
639,494,6
730,383,2
675,84,7
813,184,1
127,102,9
55,442,2
852,451,8
979,335,2
120,899,2
740,766,2
807,943,0
563,764,3
301,384,5
189,29,2
126,531,8
214,608,9
207,650,6
97,72,3
642,548,2
674,365,0
80,162,8
351,150,7
216,392,0
355,804,0
247,79,3
874,813,6
695,884,3
192,949,7
997,671,7
239,88,4
73,494,0
108,78,8
507,374,3
449,887,0
700,581,4
439,140,2
753,205,6
90,26,1
333,627,0
225,273,5
206,15,6
156,477,4
969,615,8
774,389,9
881,376,9
706,650,6
45,73,6
514,926,0
84,1,8
542,988,8
567,383,9
854,298,2
959,218,8
480,981,8
811,223,9
430,545,3
809,512,3
191,914,8
152,537,4
956,113,0
676,486,6
369,812,2
296,608,1
878,697,1
884,702,7
292,31,1
981,353,1
453,779,8
676,398,5
23,978,6
580,26,2
802,592,6
752,802,8
563,450,6
339,719,2
363,226,3
960,372,0
85,130,2
620,144,7
438,289,1
27,730,6
283,218,8
565,29,4
727,934,5
853,330,4
391,594,5
273,912,2
749,507,9
460,493,6
603,634,0
822,153,8
866,530,1
969,478,8
802,336,7
710,459,8
352,956,4
853,919,9
552,615,8
566,658,9
314,171,2
396,887,1
948,203,8
58,3,7
723,836,5
908,468,0
74,258,0
617,731,6
408,29,6
69,407,4
73,236,1
492,84,8
803,441,4
372,808,6
634,434,9
791,467,6
146,853,3
502,647,5
613,707,4
64,334,2
40,472,0
937,365,3
361,298,9
993,217,5
532,995,3
437,607,3
892,623,2
181,302,6
11,113,2
818,925,4
838,830,7
419,208,5
888,433,2
879,791,4
506,655,6
767,267,3
685,844,5
75,516,4
742,799,9
86,992,9
427,998,9
793,673,2
619,782,9
49,411,5
472,488,7
361,640,6
174,983,2
4,872,2
407,17,0
778,851,8
393,56,2
652,88,9
952,884,2
718,455,0
748,40,3
570,51,7
106,577,2
363,939,6
279,207,6
42,484,3
499,177,8
115,229,0
477,629,5
57,68,9
745,940,1
755,107,9
391,266,0
987,381,3
413,879,5
507,279,2
200,949,8
558,360,4
197,212,5
273,746,4
724,344,3
106,662,9
914,324,1
774,250,3
359,716,1
705,607,6
107,599,1
374,989,0
586,247,4
716,573,7
869,879,0
765,723,8
920,293,0
125,680,1
192,210,8
807,239,3
453,967,8
790,4,1
48,986,5
492,904,3
208,156,6
744,992,4
856,660,2
399,42,1
181,780,6
99,763,4
462,581,4
175,574,4
156,243,5
661,749,1
79,354,7
827,337,0
826,682,9
667,777,1
120,753,5
882,830,0
953,369,6
264,36,6
197,456,0
851,690,1
930,750,8
609,756,2
27,284,5
890,951,5
332,182,1
383,670,5
546,203,2
680,618,2
233,153,3
259,508,7
73,630,0
205,183,0
512,367,3
350,791,3
913,73,2
703,952,5
952,114,8
936,257,4
323,121,1
264,340,0
332,940,0
600,223,8
382,479,1
708,18,2
895,165,4
14,178,9
139,813,2
607,951,5
891,67,5
314,226,5
117,881,7
690,322,4
866,861,5
956,13,8
220,377,3
182,599,4
221,659,2
703,738,1
183,763,6
484,20,2
233,828,1
923,789,1
894,700,6
601,737,0
852,896,7
531,774,7
439,798,4
421,898,7
93,737,6
204,388,1
71,339,7
615,106,9
632,793,3
440,978,0
77,978,0
587,905,2
676,449,8
46,476,1
173,845,3
595,293,9
39,253,0
974,26,6
754,69,8
966,424,4
869,492,7
697,419,3
402,772,9
980,363,1
176,764,0
570,677,8
55,519,2
465,65,2
961,157,5
190,288,4
524,488,6
319,297,0
997,360,8
534,94,6
366,400,3
42,169,0
431,846,9
553,328,3
639,9,7
827,301,4
122,450,0
528,358,5
467,92,7
324,617,2
254,644,1
502,284,4
760,761,8
727,431,2
814,696,5
975,189,8
907,858,8
741,35,3
210,373,2
43,659,1
986,60,5
467,270,5
489,500,4
697,711,2
710,966,1
392,43,7
524,798,6
536,180,7
877,712,7
802,482,1
443,102,7
304,678,6
976,307,7
499,168,2
207,838,2
795,996,6
284,285,1
427,98,9
313,936,6
330,873,9
547,281,5
665,270,6
120,286,2
210,484,4
5,817,6
70,964,1
37,216,4
361,809,7
827,796,0
800,902,8
291,323,2
116,930,2
69,157,6
640,993,8
865,460,4
950,867,0
682,736,5
965,488,8
205,711,2
283,504,2
86,38,0
795,666,2
847,170,6
814,948,2
975,962,6
576,927,4
570,157,0
146,889,5
738,471,5
256,53,7
617,725,6
730,197,0
441,982,8
212,300,0
459,905,0
399,991,2
361,329,9
595,179,3
649,827,0
307,227,7
27,847,4
780,127,7
696,455,5
556,441,2
6,75,2
947,325,6
564,321,4
687,11,7
562,315,6
354,661,5
582,383,3
219,522,9
165,114,3
252,897,4
461,759,3
227,9,8
753,27,7
607,854,3
127,71,6
819,623,3
319,553,3
697,272,0
688,661,6
391,528,1
910,241,4
914,825,7
37,255,3
905,440,4
280,201,5
244,998,2
397,921,3
109,28,8
445,941,4
667,66,0
653,501,3
781,997,1
493,544,7
98,245,8
849,140,6
43,838,1
652,309,1
635,767,1
90,171,4
374,322,6
869,480,4
870,848,5
656,433,7
388,884,2
329,691,0
151,815,8
784,274,4
365,160,8
795,973,5
300,949,4
627,138,8
253,138,3
375,654,1
826,404,1
920,265,3
992,963,4
138,282,6
595,142,8
788,184,0
586,798,9
430,518,3
980,215,0
814,632,7
795,912,5
792,167,5
349,957,8
986,609,4
25,561,1
769,910,2
554,360,9
364,889,2
900,606,9
440,672,5
79,591,0
544,719,5
648,531,2
194,292,1
211,877,3
321,302,4
896,175,1
766,390,4
69,451,8
542,308,0
354,824,0
292,845,4
943,176,1
705,942,6
524,399,3
943,547,9
368,496,7
735,642,9
169,644,3
905,667,5
36,987,5
554,310,0
385,809,7
599,975,4
204,509,0
556,249,9
299,913,8
439,822,7
923,469,3
10,388,0
678,576,9
923,204,3
56,351,7
327,723,3
559,828,3
998,216,2
543,270,1
221,491,6
756,760,6
548,725,5
